latitude;longitude;speed;date;;;;24/05/2018 Carlos
36.70403833;-4.432773333;5.090087891;Thu May 24 14:01:04 GMT+02:00 2018;;;;
36.70381833;-4.432973333;5.098838329;Thu May 24 14:00:59 GMT+02:00 2018;;;;
36.70352667;-4.43315;3.692102432;Thu May 24 14:00:54 GMT+02:00 2018;;;;
36.70322833;-4.433206667;3.810488701;Thu May 24 14:00:44 GMT+02:00 2018;;;;
36.70302667;-4.433455;4.029760361;Thu May 24 14:00:37 GMT+02:00 2018;;;;
36.70273667;-4.433508333;4.189324379;Thu May 24 14:00:23 GMT+02:00 2018;;;;
36.70246167;-4.43355;4.04623127;Thu May 24 13:59:59 GMT+02:00 2018;;;;
36.70222;-4.433701667;4.899126053;Thu May 24 13:59:53 GMT+02:00 2018;;;;
36.70196833;-4.43388;4.785372734;Thu May 24 13:59:47 GMT+02:00 2018;;;;
36.70176833;-4.434146667;5.338698864;Thu May 24 13:59:41 GMT+02:00 2018;;;;
36.70155;-4.43439;4.861036777;Thu May 24 13:59:35 GMT+02:00 2018;;;;
36.70132167;-4.434638333;5.320683479;Thu May 24 13:59:29 GMT+02:00 2018;;;;
36.70113;-4.43488;5.384509087;Thu May 24 13:59:24 GMT+02:00 2018;;;;
36.700915;-4.435118333;5.711872578;Thu May 24 13:59:19 GMT+02:00 2018;;;;
36.70068667;-4.435375;5.541499615;Thu May 24 13:59:13 GMT+02:00 2018;;;;
36.70042;-4.435556667;4.831697464;Thu May 24 13:59:06 GMT+02:00 2018;;;;
36.700155;-4.435695;4.646912098;Thu May 24 13:58:59 GMT+02:00 2018;;;;
36.70000833;-4.435983333;3.368342161;Thu May 24 13:58:52 GMT+02:00 2018;;;;
36.699825;-4.43626;4.373079777;Thu May 24 13:58:43 GMT+02:00 2018;;;;
36.69958333;-4.436451667;5.544073105;Thu May 24 13:58:37 GMT+02:00 2018;;;;
36.69940833;-4.43673;5.792169094;Thu May 24 13:58:32 GMT+02:00 2018;;;;
36.69915;-4.436845;6.48652935;Thu May 24 13:58:27 GMT+02:00 2018;;;;
36.69891833;-4.43706;6.333656788;Thu May 24 13:58:22 GMT+02:00 2018;;;;
36.69862333;-4.437231667;5.801949024;Thu May 24 13:58:16 GMT+02:00 2018;;;;
36.69835833;-4.437398333;4.987143517;Thu May 24 13:58:10 GMT+02:00 2018;;;;
36.6981;-4.43756;3.513493776;Thu May 24 13:58:02 GMT+02:00 2018;;;;
36.69785667;-4.43772;4.728238106;Thu May 24 13:57:55 GMT+02:00 2018;;;;
36.69759167;-4.437873333;3.962331772;Thu May 24 13:57:48 GMT+02:00 2018;;;;
36.69733167;-4.438033333;3.841886759;Thu May 24 13:57:20 GMT+02:00 2018;;;;
36.69705667;-4.438208333;4.863610268;Thu May 24 13:57:12 GMT+02:00 2018;;;;
36.696815;-4.438423333;5.486423969;Thu May 24 13:57:06 GMT+02:00 2018;;;;
36.69657667;-4.438685;5.750476837;Thu May 24 13:57:01 GMT+02:00 2018;;;;
36.69632833;-4.438898333;6.070633888;Thu May 24 13:56:56 GMT+02:00 2018;;;;
36.69604333;-4.4391;5.430834293;Thu May 24 13:56:50 GMT+02:00 2018;;;;
36.69582;-4.439331667;6.210123539;Thu May 24 13:56:45 GMT+02:00 2018;;;;
36.69559;-4.439568333;5.721652031;Thu May 24 13:56:40 GMT+02:00 2018;;;;
36.69535333;-4.439785;5.653193951;Thu May 24 13:56:35 GMT+02:00 2018;;;;
36.69507333;-4.439973333;5.799890041;Thu May 24 13:56:29 GMT+02:00 2018;;;;
36.69482;-4.440121667;6.108723164;Thu May 24 13:56:24 GMT+02:00 2018;;;;
36.69457;-4.44028;5.47973299;Thu May 24 13:56:19 GMT+02:00 2018;;;;
36.69428;-4.440425;5.366493702;Thu May 24 13:56:13 GMT+02:00 2018;;;;
36.69401667;-4.440526667;4.871845722;Thu May 24 13:56:07 GMT+02:00 2018;;;;
36.69377333;-4.44076;4.487863064;Thu May 24 13:56:00 GMT+02:00 2018;;;;
36.69353333;-4.440915;4.955745697;Thu May 24 13:55:54 GMT+02:00 2018;;;;
36.69324667;-4.441088333;5.386568069;Thu May 24 13:55:48 GMT+02:00 2018;;;;
36.69297333;-4.441283333;5.566205978;Thu May 24 13:55:42 GMT+02:00 2018;;;;
