latitude;longitude;speed;date;;;;;;;;;
36.70547897;-4.431701224;4.578178406;Thu May 03 09:44:58 GMT+02:00 2018;;;;;;;;;
36.70524159;-4.431875531;4.955029011;Thu May 03 09:44:52 GMT+02:00 2018;;;;;;;;;
36.70497955;-4.432086169;5.031090736;Thu May 03 09:44:45 GMT+02:00 2018;;;;;;;;;
36.70470478;-4.432221605;4.351575851;Thu May 03 09:44:39 GMT+02:00 2018;;;;;;;;;
36.70442619;-4.432404784;5.129500389;Thu May 03 09:44:33 GMT+02:00 2018;;;;;;;;;
36.70418519;-4.43259193;4.664957047;Thu May 03 09:44:27 GMT+02:00 2018;;;;;;;;;
36.70396382;-4.432788254;4.749649525;Thu May 03 09:44:21 GMT+02:00 2018;;;;;;;;;
36.70372054;-4.432951993;3.683113337;Thu May 03 09:44:11 GMT+02:00 2018;;;;;;;;;
36.70350287;-4.433200965;4.941596985;Thu May 03 09:44:05 GMT+02:00 2018;;;;;;;;;
36.70325375;-4.433358614;4.011911869;Thu May 03 09:43:59 GMT+02:00 2018;;;;;;;;;
36.7030121;-4.433512467;4.281342506;Thu May 03 09:43:52 GMT+02:00 2018;;;;;;;;;
36.70272753;-4.433509366;4.984657288;Thu May 03 09:43:45 GMT+02:00 2018;;;;;;;;;
36.70247226;-4.433370886;4.352593422;Thu May 03 09:43:33 GMT+02:00 2018;;;;;;;;;
36.70220269;-4.433559437;4.654467583;Thu May 03 09:43:26 GMT+02:00 2018;;;;;;;;;
36.70195933;-4.433714495;5.022420406;Thu May 03 09:43:20 GMT+02:00 2018;;;;;;;;;
36.70174916;-4.433996005;5.038328648;Thu May 03 09:43:13 GMT+02:00 2018;;;;;;;;;
36.70154404;-4.434238352;4.966289043;Thu May 03 09:43:07 GMT+02:00 2018;;;;;;;;;
36.70134792;-4.43447451;5.352232456;Thu May 03 09:43:01 GMT+02:00 2018;;;;;;;;;
36.7011538;-4.434735037;5.449315071;Thu May 03 09:42:55 GMT+02:00 2018;;;;;;;;;
36.70094951;-4.434992932;5.493187904;Thu May 03 09:42:49 GMT+02:00 2018;;;;;;;;;
36.70073117;-4.435256111;5.459041595;Thu May 03 09:42:43 GMT+02:00 2018;;;;;;;;;
36.70046644;-4.435427744;4.61384964;Thu May 03 09:42:35 GMT+02:00 2018;;;;;;;;;
36.70017064;-4.435433107;4.589828014;Thu May 03 09:42:28 GMT+02:00 2018;;;;;;;;;
36.69987344;-4.435562275;4.291575909;Thu May 03 09:42:21 GMT+02:00 2018;;;;;;;;;
36.69961886;-4.435748097;4.594842434;Thu May 03 09:42:14 GMT+02:00 2018;;;;;;;;;
36.69939991;-4.435945181;4.958816051;Thu May 03 09:42:08 GMT+02:00 2018;;;;;;;;;
36.69918501;-4.436153265;3.778275728;Thu May 03 09:42:02 GMT+02:00 2018;;;;;;;;;
36.69892553;-4.436306298;4.357417107;Thu May 03 09:41:55 GMT+02:00 2018;;;;;;;;;
36.6986671;-4.436474952;4.440310955;Thu May 03 09:41:49 GMT+02:00 2018;;;;;;;;;
36.69840928;-4.436613516;4.002920151;Thu May 03 09:41:42 GMT+02:00 2018;;;;;;;;;
36.69816013;-4.436797946;4.061255932;Thu May 03 09:41:34 GMT+02:00 2018;;;;;;;;;
36.6979017;-4.436952949;4.066108704;Thu May 03 09:41:27 GMT+02:00 2018;;;;;;;;;
36.69764806;-4.437161529;4.541958332;Thu May 03 09:41:19 GMT+02:00 2018;;;;;;;;;
36.69740337;-4.43738784;4.503512859;Thu May 03 09:41:12 GMT+02:00 2018;;;;;;;;;
36.69713663;-4.437554619;4.247367859;Thu May 03 09:41:05 GMT+02:00 2018;;;;;;;;;
36.69696018;-4.437822138;3.738348722;Thu May 03 09:40:58 GMT+02:00 2018;;;;;;;;;
36.69670125;-4.43799515;4.291650772;Thu May 03 09:40:50 GMT+02:00 2018;;;;;;;;;
36.69643722;-4.438178215;4.485141754;Thu May 03 09:40:43 GMT+02:00 2018;;;;;;;;;
36.69615949;-4.438355258;4.05602026;Thu May 03 09:40:36 GMT+02:00 2018;;;;;;;;;
36.69588811;-4.438442719;3.638421535;Thu May 03 09:40:29 GMT+02:00 2018;;;;;;;;;
36.69562792;-4.438644497;4.757613659;Thu May 03 09:40:22 GMT+02:00 2018;;;;;;;;;
36.69537244;-4.438860515;4.338231564;Thu May 03 09:40:15 GMT+02:00 2018;;;;;;;;;
36.69518374;-4.439162942;4.731350899;Thu May 03 09:40:08 GMT+02:00 2018;;;;;;;;;
36.69489547;-4.439252053;3.312891483;Thu May 03 09:40:00 GMT+02:00 2018;;;;;;;;;
36.69460476;-4.439337764;4.198825359;Thu May 03 09:39:52 GMT+02:00 2018;;;;;;;;;
36.69434703;-4.439473558;4.244824886;Thu May 03 09:39:45 GMT+02:00 2018;;;;;;;;;
36.6941436;-4.439705661;3.868841648;Thu May 03 09:39:38 GMT+02:00 2018;;;;;;;;;
36.69393797;-4.439938807;4.370690346;Thu May 03 09:39:31 GMT+02:00 2018;;;;;;;;;
36.69374521;-4.440194323;4.196330547;Thu May 03 09:39:17 GMT+02:00 2018;;;;;;;;;
36.69387545;-4.440503071;3.655140877;Thu May 03 09:39:11 GMT+02:00 2018;;;;;;;;;
36.69379128;-4.440847449;4.144886017;Thu May 03 09:39:00 GMT+02:00 2018;;;;;;;;;
36.69353552;-4.441030887;5.122308254;Thu May 03 09:38:53 GMT+02:00 2018;;;;;;;;;
36.6932713;-4.441231359;4.280642033;Thu May 03 09:38:46 GMT+02:00 2018;;;;;;;;;
36.69302751;-4.441438505;5.293267727;Thu May 03 09:38:39 GMT+02:00 2018;;;;;;;;;
36.6929669;-4.44178172;5.029500484;Thu May 03 09:38:30 GMT+02:00 2018;;;;;;;;;
36.69309289;-4.442144048;5.014862061;Thu May 03 09:38:23 GMT+02:00 2018;;;;;;;;;
36.6931847;-4.442463927;5.454663277;Thu May 03 09:38:17 GMT+02:00 2018;;;;;;;;;
36.69328447;-4.442797428;5.146502018;Thu May 03 09:38:11 GMT+02:00 2018;;;;;;;;;
36.69344137;-4.443109407;5.332912922;Thu May 03 09:38:05 GMT+02:00 2018;;;;;;;;;
36.69361921;-4.443437668;5.481415749;Thu May 03 09:37:59 GMT+02:00 2018;;;;;;;;;
36.69365891;-4.44377836;3.948381424;Thu May 03 09:37:53 GMT+02:00 2018;;;;;;;;;
36.69365252;-4.444160735;3.726764202;Thu May 03 09:37:47 GMT+02:00 2018;;;;;;;;;
36.69383671;-4.444439379;1.762121797;Thu May 03 09:37:31 GMT+02:00 2018;;;;;;;;;
36.69409503;-4.444284265;2.88599515;Thu May 03 09:37:22 GMT+02:00 2018;;;;;;;;;
36.69431955;-4.444483833;4.947076797;Thu May 03 09:37:13 GMT+02:00 2018;;;;;;;;;
36.69439957;-4.444861288;5.772434235;Thu May 03 09:37:08 GMT+02:00 2018;;;;;;;;;
36.69453568;-4.445232613;3.949913502;Thu May 03 09:37:02 GMT+02:00 2018;;;;;;;;;
36.69460104;-4.445585642;5.184694767;Thu May 03 09:36:55 GMT+02:00 2018;;;;;;;;;
36.69470406;-4.445902578;4.764182091;Thu May 03 09:36:50 GMT+02:00 2018;;;;;;;;;
36.69490015;-4.446181996;4.285089493;Thu May 03 09:36:45 GMT+02:00 2018;;;;;;;;;
36.69494979;-4.446533708;3.883531809;Thu May 03 09:36:33 GMT+02:00 2018;;;;;;;;;
36.69469177;-4.446722625;3.953621626;Thu May 03 09:36:27 GMT+02:00 2018;;;;;;;;;
36.69445726;-4.446913919;4.331050873;Thu May 03 09:36:20 GMT+02:00 2018;;;;;;;;;
36.69447988;-4.447300783;3.15790534;Thu May 03 09:36:12 GMT+02:00 2018;;;;;;;;;
36.69444328;-4.447664362;4.022408009;Thu May 03 09:36:02 GMT+02:00 2018;;;;;;;;;
36.69452083;-4.447994432;4.027222157;Thu May 03 09:35:53 GMT+02:00 2018;;;;;;;;;
36.69442036;-4.448318112;3.745561838;Thu May 03 09:35:42 GMT+02:00 2018;;;;;;;;;
36.69434199;-4.448683174;1.731857657;Thu May 03 09:35:20 GMT+02:00 2018;;;;;;;;;
36.69440518;-4.449021576;3.285605669;Thu May 03 09:35:06 GMT+02:00 2018;;;;;;;;;
36.69460238;-4.449283981;2.63183856;Thu May 03 09:34:57 GMT+02:00 2018;;;;;;;;;
36.69467202;-4.449611742;1.346895576;Thu May 03 09:34:49 GMT+02:00 2018;;;;;;;;;
36.69477731;-4.449932853;3.065937996;Thu May 03 09:34:36 GMT+02:00 2018;;;;;;;;;
36.6950174;-4.450120944;5.548914909;Thu May 03 09:34:29 GMT+02:00 2018;;;;;;;;;
36.69530592;-4.450283946;5.804325581;Thu May 03 09:34:24 GMT+02:00 2018;;;;;;;;;
36.6955161;-4.450530579;6.260953426;Thu May 03 09:34:19 GMT+02:00 2018;;;;;;;;;
36.69573981;-4.450800659;2.022305012;Thu May 03 09:33:57 GMT+02:00 2018;;;;;;;;;
36.69602619;-4.450868954;1.767490506;Thu May 03 09:33:42 GMT+02:00 2018;;;;;;;;;
36.6961595;-4.450576387;3.447782755;Thu May 03 09:33:28 GMT+02:00 2018;;;;;;;;;
36.69634802;-4.450308261;2.671419621;Thu May 03 09:33:16 GMT+02:00 2018;;;;;;;;;
36.69659532;-4.450086747;2.854493856;Thu May 03 09:33:08 GMT+02:00 2018;;;;;;;;;
36.69680284;-4.449857175;2.028172016;Thu May 03 09:32:59 GMT+02:00 2018;;;;;;;;;
36.69706145;-4.449957458;2.952393055;Thu May 03 09:32:41 GMT+02:00 2018;;;;;;;;;
36.6972757;-4.450213045;3.500143766;Thu May 03 09:32:32 GMT+02:00 2018;;;;;;;;;
