latitude;longitude;speed;date
36.71911175;-4.685452386;25.09248734;Sat May 05 12:48:41 GMT+02:00 2018
36.71920506;-4.684907267;25.48549461;Sat May 05 12:48:39 GMT+02:00 2018
36.71934072;-4.684360323;26.16195679;Sat May 05 12:48:37 GMT+02:00 2018
36.71949845;-4.683798301;26.98669815;Sat May 05 12:48:35 GMT+02:00 2018
36.71965988;-4.683221097;26.96644592;Sat May 05 12:48:33 GMT+02:00 2018
36.71981574;-4.682639278;27.05920792;Sat May 05 12:48:31 GMT+02:00 2018
36.71997334;-4.682057411;27.32402611;Sat May 05 12:48:29 GMT+02:00 2018
36.72013661;-4.681469618;27.7477932;Sat May 05 12:48:27 GMT+02:00 2018
36.72029388;-4.680872386;27.6310215;Sat May 05 12:48:25 GMT+02:00 2018
36.72044009;-4.680289962;27.25609589;Sat May 05 12:48:23 GMT+02:00 2018
36.72057172;-4.679695786;27.13754654;Sat May 05 12:48:21 GMT+02:00 2018
36.72068276;-4.679105087;26.75377846;Sat May 05 12:48:19 GMT+02:00 2018
36.72077782;-4.678520624;26.50977516;Sat May 05 12:48:17 GMT+02:00 2018
36.72085896;-4.677949047;26.10618019;Sat May 05 12:48:15 GMT+02:00 2018
36.72092085;-4.677382912;25.92915344;Sat May 05 12:48:13 GMT+02:00 2018
36.72095708;-4.676818367;25.59184647;Sat May 05 12:48:11 GMT+02:00 2018
36.72097669;-4.676257145;25.06989479;Sat May 05 12:48:09 GMT+02:00 2018
36.72097282;-4.675699118;24.99752235;Sat May 05 12:48:07 GMT+02:00 2018
36.72095281;-4.675145781;24.75379944;Sat May 05 12:48:05 GMT+02:00 2018
36.720911;-4.674598461;24.20040894;Sat May 05 12:48:03 GMT+02:00 2018
36.72084845;-4.674049564;24.91665459;Sat May 05 12:48:01 GMT+02:00 2018
36.72076189;-4.673510692;23.99757576;Sat May 05 12:47:59 GMT+02:00 2018
