latitude;longitude;speed;date;incr. Lat. (m);incr. Lon. (m);ATAN2;Direccion;Cambio;;De M laga a C ceres en coche;
39.47392333;-6.37255167;0;Thu Jun 14 18:55:20 GMT+02:00 2018;-24.44;21.73;-0.84417227;S;;;;
39.47414333;-6.372805;0;Thu Jun 14 18:55:18 GMT+02:00 2018;-9.82;38.02;-0.25262949;E;****;;;
39.47423167;-6.37324833;0;Thu Jun 14 18:54:13 GMT+02:00 2018;23.89;-24.16;2.36178396;W;;;;
39.47401667;-6.37296667;0;Thu Jun 14 18:53:53 GMT+02:00 2018;17.78;-24.73;2.51831923;W;****;;;
39.47385667;-6.37267833;0;Thu Jun 14 18:53:36 GMT+02:00 2018;-29.26;-10.72;-1.92202232;S;****;;;
39.47412;-6.37255333;2.992;Thu Jun 14 18:52:30 GMT+02:00 2018;5.37;30.73;0.17297823;E;;;;
39.47407167;-6.37291167;2.635;Thu Jun 14 18:52:25 GMT+02:00 2018;12.41;27.30;0.42655198;E;****;;;
39.47396;-6.37323;0;Thu Jun 14 18:52:18 GMT+02:00 2018;31.30;-20.44;2.14937817;N;****;;;
39.47367833;-6.37299167;0;Thu Jun 14 18:50:54 GMT+02:00 2018;-0.56;-34.02;-3.12526470;W;****;;;
39.47368333;-6.372595;0;Thu Jun 14 18:47:26 GMT+02:00 2018;21.85;-22.87;2.37901643;W;****;;;
39.47348667;-6.37232833;0;Thu Jun 14 18:46:32 GMT+02:00 2018;-10.18;39.45;-0.25262262;E;****;;;
39.47357833;-6.37278833;0;Thu Jun 14 18:40:39 GMT+02:00 2018;-30.00;-4.29;-1.71278163;S;;;;
39.47384833;-6.37273833;0.777;Thu Jun 14 18:40:14 GMT+02:00 2018;-27.96;-28.16;-2.35970237;W;;;;
39.4741;-6.37241;0;Thu Jun 14 18:39:43 GMT+02:00 2018;-29.26;-9.15;-1.87385043;S;;;;
39.47436333;-6.37230333;0.78;Thu Jun 14 18:39:17 GMT+02:00 2018;-34.63;-0.14;-1.57490759;S;;;;
39.474675;-6.37230167;0;Thu Jun 14 18:38:40 GMT+02:00 2018;-22.59;20.44;-0.83534980;S;;;;
39.47487833;-6.37254;0;Thu Jun 14 18:38:16 GMT+02:00 2018;-2.22;31.02;-0.07151767;E;;;;
39.47489833;-6.37290167;0;Thu Jun 14 18:37:50 GMT+02:00 2018;-27.22;27.59;-0.77872976;E;;;;
39.47514333;-6.37322333;0;Thu Jun 14 18:37:07 GMT+02:00 2018;-14.07;26.59;-0.48685922;E;****;;;
39.47527;-6.37353333;0;Thu Jun 14 18:36:02 GMT+02:00 2018;-22.78;-19.73;-2.28452364;S;****;;;
39.475475;-6.37330333;3.168;Thu Jun 14 18:31:13 GMT+02:00 2018;29.07;10.58;1.22184516;N;;;;
39.47521333;-6.37342667;3.907;Thu Jun 14 18:31:04 GMT+02:00 2018;31.30;2.43;1.49331204;N;;;;
39.47493167;-6.373455;5.743;Thu Jun 14 18:31:00 GMT+02:00 2018;30.93;14.72;1.12646431;N;;;;
39.47465333;-6.37362667;4.81;Thu Jun 14 18:30:55 GMT+02:00 2018;27.41;18.15;0.98576861;N;;;;
39.47440667;-6.37383833;5.966;Thu Jun 14 18:30:49 GMT+02:00 2018;20.37;25.44;0.67510777;E;;;;
39.47422333;-6.374135;5.438;Thu Jun 14 18:30:45 GMT+02:00 2018;26.48;19.01;0.94812192;N;;;;
39.473985;-6.37435667;6.503;Thu Jun 14 18:30:39 GMT+02:00 2018;34.26;13.15;1.20427381;N;;;;
39.47367667;-6.37451;7.722;Thu Jun 14 18:30:27 GMT+02:00 2018;20.93;32.45;0.57278978;E;;;;
39.47348833;-6.37488833;3.484;Thu Jun 14 18:30:21 GMT+02:00 2018;30.56;14.72;1.12175297;N;****;;;
39.47321333;-6.37506;2.086;Thu Jun 14 18:29:53 GMT+02:00 2018;2.41;-30.16;3.06197112;W;;;;
39.47319167;-6.37470833;2.446;Thu Jun 14 18:29:24 GMT+02:00 2018;13.52;-29.88;2.71666184;W;****;;;
39.47307;-6.37436;4.906;Thu Jun 14 18:29:16 GMT+02:00 2018;31.11;2.72;1.48370677;N;;;;
39.47279;-6.37439167;0;Thu Jun 14 18:29:09 GMT+02:00 2018;25.19;17.15;0.97286521;N;;;;
39.47256333;-6.37459167;1.776;Thu Jun 14 18:28:46 GMT+02:00 2018;30.00;11.15;1.21494742;N;****;;;
39.47229333;-6.37472167;6.938;Thu Jun 14 18:28:36 GMT+02:00 2018;18.33;-25.45;2.51724453;W;;;;
39.47212833;-6.374425;7.701;Thu Jun 14 18:28:33 GMT+02:00 2018;3.89;-41.74;3.04869573;W;****;;;
39.47209333;-6.37393833;5.162;Thu Jun 14 18:28:30 GMT+02:00 2018;31.67;-10.01;1.87684820;N;;;;
39.47180833;-6.37382167;5.126;Thu Jun 14 18:28:25 GMT+02:00 2018;30.74;-11.87;1.93917419;N;;;;
39.47153167;-6.37368333;6.293;Thu Jun 14 18:28:20 GMT+02:00 2018;29.07;-24.44;2.26990652;N;;;;
39.47127;-6.37339833;5.675;Thu Jun 14 18:28:15 GMT+02:00 2018;27.78;-19.16;2.17450487;N;;;;
39.47102;-6.373175;5.902;Thu Jun 14 18:28:10 GMT+02:00 2018;30.56;-14.87;2.02362826;N;;;;
39.470745;-6.37300167;5.163;Thu Jun 14 18:28:06 GMT+02:00 2018;24.44;-18.58;2.22083610;N;;;;
39.470525;-6.372785;4.449;Thu Jun 14 18:28:02 GMT+02:00 2018;21.11;-24.30;2.42634207;W;;;;
39.470335;-6.37250167;4.887;Thu Jun 14 18:27:58 GMT+02:00 2018;13.89;-28.88;2.69328865;W;;;;
39.47021;-6.372165;4.801;Thu Jun 14 18:27:54 GMT+02:00 2018;11.85;-31.59;2.78268481;W;;;;
39.47010333;-6.37179667;3.54;Thu Jun 14 18:27:49 GMT+02:00 2018;0.18;-34.31;3.13621675;W;;;;
39.47010167;-6.37139667;3.59;Thu Jun 14 18:27:39 GMT+02:00 2018;4.44;-31.45;3.00120616;W;****;;;
39.47006167;-6.37103;0;Thu Jun 14 18:27:08 GMT+02:00 2018;6.85;30.31;0.22236093;E;;;;
39.47;-6.37138333;5.993;Thu Jun 14 18:27:01 GMT+02:00 2018;4.07;31.31;0.12941668;E;;;;
39.46996333;-6.37174833;5.996;Thu Jun 14 18:26:56 GMT+02:00 2018;9.26;30.16;0.29782344;E;;;;
39.46988;-6.3721;6.981;Thu Jun 14 18:26:51 GMT+02:00 2018;15.00;32.88;0.42800716;E;;;;
39.469745;-6.37248333;7.302;Thu Jun 14 18:26:46 GMT+02:00 2018;16.11;29.16;0.50472246;E;;;;
39.4696;-6.37282333;8.438;Thu Jun 14 18:26:42 GMT+02:00 2018;17.78;33.88;0.48322593;E;;;;
39.46944;-6.37321833;5.777;Thu Jun 14 18:26:37 GMT+02:00 2018;27.41;20.01;0.94005579;N;;;;
39.46919333;-6.37345167;4.875;Thu Jun 14 18:26:30 GMT+02:00 2018;10.18;29.31;0.33446869;E;;;;
39.46910167;-6.37379333;5.722;Thu Jun 14 18:26:24 GMT+02:00 2018;-5.56;32.31;-0.17028788;E;;;;
39.46915167;-6.37417;4.565;Thu Jun 14 18:26:15 GMT+02:00 2018;15.00;30.74;0.45402995;E;;;;
39.46901667;-6.37452833;8.482;Thu Jun 14 18:26:10 GMT+02:00 2018;15.93;31.02;0.47430875;E;;;;
39.46887333;-6.37489;8.519;Thu Jun 14 18:26:06 GMT+02:00 2018;11.67;28.02;0.39453792;E;;;;
39.46876833;-6.37521667;9.582;Thu Jun 14 18:26:03 GMT+02:00 2018;11.67;29.31;0.37886835;E;;;;
39.46866333;-6.37555833;9.164;Thu Jun 14 18:26:00 GMT+02:00 2018;6.30;32.17;0.19328028;E;;;;
39.46860667;-6.37593333;9.29;Thu Jun 14 18:25:57 GMT+02:00 2018;5.00;30.31;0.16350198;E;;;;
39.46856167;-6.37628667;8.869;Thu Jun 14 18:25:54 GMT+02:00 2018;3.89;38.46;0.10078449;E;;;;
39.46852667;-6.376735;7.787;Thu Jun 14 18:25:50 GMT+02:00 2018;2.96;35.17;0.08406431;E;;;;
39.4685;-6.377145;6.273;Thu Jun 14 18:25:45 GMT+02:00 2018;14.63;30.88;0.44245604;E;;;;
39.46836833;-6.377505;5.569;Thu Jun 14 18:25:31 GMT+02:00 2018;14.44;32.17;0.42207480;E;;;;
39.46823833;-6.37788;4.194;Thu Jun 14 18:25:26 GMT+02:00 2018;7.96;34.60;0.22621107;E;;;;
39.46816667;-6.37828333;5.471;Thu Jun 14 18:25:16 GMT+02:00 2018;-14.81;28.45;-0.48009853;E;;;;
39.4683;-6.378615;5.448;Thu Jun 14 18:25:10 GMT+02:00 2018;-7.78;33.88;-0.22565103;E;****;;;
39.46837;-6.37901;1.234;Thu Jun 14 18:25:02 GMT+02:00 2018;26.30;16.15;1.01992756;N;;;;
39.46813333;-6.37919833;5.687;Thu Jun 14 18:24:53 GMT+02:00 2018;30.93;21.73;0.95828161;N;;;;
39.467855;-6.37945167;7.165;Thu Jun 14 18:24:49 GMT+02:00 2018;27.59;23.02;0.87557148;N;;;;
39.46760667;-6.37972;5.245;Thu Jun 14 18:24:44 GMT+02:00 2018;32.78;15.58;1.12701078;N;;;;
39.46731167;-6.37990167;2.625;Thu Jun 14 18:24:29 GMT+02:00 2018;24.63;18.01;0.93933990;N;;;;
39.46709;-6.38011167;6.583;Thu Jun 14 18:24:24 GMT+02:00 2018;27.96;16.44;1.03931162;N;;;;
39.46683833;-6.38030333;4.428;Thu Jun 14 18:24:19 GMT+02:00 2018;25.37;17.58;0.96470597;N;;;;
39.46661;-6.38050833;2.671;Thu Jun 14 18:24:12 GMT+02:00 2018;28.52;11.72;1.18078466;N;;;;
39.46635333;-6.380645;5.778;Thu Jun 14 18:23:03 GMT+02:00 2018;29.44;15.30;1.09166052;N;;;;
39.46608833;-6.38082333;8.289;Thu Jun 14 18:22:58 GMT+02:00 2018;31.67;17.87;1.05700375;N;;;;
39.46580333;-6.38103167;10.012;Thu Jun 14 18:22:54 GMT+02:00 2018;34.44;18.16;1.08569916;N;;;;
39.46549333;-6.38124333;11.225;Thu Jun 14 18:22:50 GMT+02:00 2018;30.37;16.44;1.07460693;N;;;;
39.46522;-6.381435;13.053;Thu Jun 14 18:22:47 GMT+02:00 2018;35.00;20.01;1.05132950;N;;;;
39.464905;-6.38166833;13.857;Thu Jun 14 18:22:44 GMT+02:00 2018;37.04;23.16;1.01195210;N;;;;
39.46457167;-6.38193833;15.259;Thu Jun 14 18:22:41 GMT+02:00 2018;26.11;15.44;1.03677270;N;;;;
39.46433667;-6.38211833;15.297;Thu Jun 14 18:22:39 GMT+02:00 2018;26.67;15.87;1.03398676;N;;;;
39.46409667;-6.38230333;15.451;Thu Jun 14 18:22:37 GMT+02:00 2018;27.78;16.01;1.04786835;N;;;;
39.46384667;-6.38249;15.613;Thu Jun 14 18:22:35 GMT+02:00 2018;26.85;16.01;1.03308130;N;;;;
39.463605;-6.38267667;15.294;Thu Jun 14 18:22:33 GMT+02:00 2018;27.22;14.87;1.07088417;N;;;;
39.46336;-6.38285;14.639;Thu Jun 14 18:22:31 GMT+02:00 2018;35.93;22.45;1.01233694;N;;;;
39.46303667;-6.38311167;13.767;Thu Jun 14 18:22:28 GMT+02:00 2018;32.04;22.59;0.95667375;N;;;;
39.46274833;-6.383375;13.44;Thu Jun 14 18:22:25 GMT+02:00 2018;36.48;19.73;1.07502336;N;;;;
39.46242;-6.383605;13.372;Thu Jun 14 18:22:22 GMT+02:00 2018;38.70;19.30;1.10819371;N;;;;
39.46207167;-6.38383;14.069;Thu Jun 14 18:22:19 GMT+02:00 2018;40.00;10.72;1.30888168;N;;;;
39.46171167;-6.383955;12.636;Thu Jun 14 18:22:16 GMT+02:00 2018;33.15;1.57;1.52339696;N;;;;
39.46141333;-6.38397333;10.916;Thu Jun 14 18:22:13 GMT+02:00 2018;41.11;-2.57;1.63331396;N;****;;;
39.46104333;-6.38394333;7.799;Thu Jun 14 18:22:09 GMT+02:00 2018;22.59;20.59;0.83177426;N;;;;
39.46084;-6.38418333;7.007;Thu Jun 14 18:22:05 GMT+02:00 2018;17.96;26.16;0.60164825;E;****;;;
39.46067833;-6.38448833;5.598;Thu Jun 14 18:21:53 GMT+02:00 2018;35.00;6.29;1.39293954;N;;;;
39.46036333;-6.38456167;9.28;Thu Jun 14 18:21:48 GMT+02:00 2018;37.96;-4.00;1.67587073;N;;;;
39.46002167;-6.384515;10.614;Thu Jun 14 18:21:44 GMT+02:00 2018;34.26;-2.86;1.65406042;N;;;;
39.45971333;-6.38448167;12.652;Thu Jun 14 18:21:41 GMT+02:00 2018;41.67;-4.58;1.68017806;N;;;;
39.45933833;-6.38442833;14.537;Thu Jun 14 18:21:38 GMT+02:00 2018;43.52;-6.29;1.71435745;N;;;;
39.45894667;-6.384355;14.592;Thu Jun 14 18:21:35 GMT+02:00 2018;42.59;-5.58;1.70097238;N;;;;
39.45856333;-6.38429;14.539;Thu Jun 14 18:21:32 GMT+02:00 2018;30.74;-3.72;1.69113502;N;;;;
39.45828667;-6.38424667;15.086;Thu Jun 14 18:21:30 GMT+02:00 2018;31.67;-4.72;1.71870808;N;;;;
39.45800167;-6.38419167;15.425;Thu Jun 14 18:21:28 GMT+02:00 2018;32.78;-5.58;1.73930543;N;;;;
39.45770667;-6.38412667;15.846;Thu Jun 14 18:21:26 GMT+02:00 2018;30.93;-3.00;1.66758070;N;;;;
39.45742833;-6.38409167;15.444;Thu Jun 14 18:21:24 GMT+02:00 2018;40.93;-4.58;1.68214626;N;;;;
39.45706;-6.38403833;12.605;Thu Jun 14 18:21:21 GMT+02:00 2018;33.52;-3.15;1.66435127;N;;;;
39.45675833;-6.38400167;11.206;Thu Jun 14 18:21:18 GMT+02:00 2018;34.81;-4.00;1.68529753;N;;;;
39.456445;-6.383955;11.326;Thu Jun 14 18:21:15 GMT+02:00 2018;39.26;-3.43;1.65798443;N;;;;
39.45609167;-6.383915;8.924;Thu Jun 14 18:21:11 GMT+02:00 2018;31.11;-3.57;1.68520181;N;;;;
39.45581167;-6.38387333;7.296;Thu Jun 14 18:21:07 GMT+02:00 2018;34.26;-3.72;1.67887674;N;;;;
39.45550333;-6.38383;10.967;Thu Jun 14 18:21:03 GMT+02:00 2018;37.22;-3.72;1.67033508;N;;;;
39.45516833;-6.38378667;12.966;Thu Jun 14 18:21:00 GMT+02:00 2018;39.26;-3.15;1.65075978;N;;;;
39.454815;-6.38375;13.681;Thu Jun 14 18:20:57 GMT+02:00 2018;30.56;-3.57;1.68726542;N;;;;
39.45454;-6.38370833;16.427;Thu Jun 14 18:20:55 GMT+02:00 2018;34.07;-6.86;1.76956042;N;;;;
39.45423333;-6.38362833;17.104;Thu Jun 14 18:20:53 GMT+02:00 2018;33.52;-7.15;1.78094068;N;;;;
39.45393167;-6.383545;17.699;Thu Jun 14 18:20:51 GMT+02:00 2018;35.37;-8.01;1.79341776;N;;;;
39.45361333;-6.38345167;18.004;Thu Jun 14 18:20:49 GMT+02:00 2018;34.26;-11.44;1.89307466;N;;;;
39.453305;-6.38331833;17.54;Thu Jun 14 18:20:47 GMT+02:00 2018;31.48;-14.16;1.99337305;N;;;;
39.45302167;-6.38315333;15.814;Thu Jun 14 18:20:45 GMT+02:00 2018;28.52;-12.58;1.98630983;N;;;;
39.452765;-6.38300667;14.154;Thu Jun 14 18:20:43 GMT+02:00 2018;36.67;-17.45;2.01488598;N;;;;
39.452435;-6.38280333;12.303;Thu Jun 14 18:20:40 GMT+02:00 2018;35.37;-15.16;1.97564012;N;;;;
39.45211667;-6.38262667;7.229;Thu Jun 14 18:20:36 GMT+02:00 2018;28.52;-10.58;1.92610174;N;;;;
39.45186;-6.38250333;9.29;Thu Jun 14 18:20:32 GMT+02:00 2018;32.59;-15.01;2.00248797;N;;;;
39.45156667;-6.38232833;14.983;Thu Jun 14 18:20:29 GMT+02:00 2018;28.89;-13.44;2.00626697;N;;;;
39.45130667;-6.38217167;18.297;Thu Jun 14 18:20:27 GMT+02:00 2018;32.96;-14.44;1.98375456;N;;;;
39.45101;-6.38200333;18.628;Thu Jun 14 18:20:25 GMT+02:00 2018;33.52;-13.73;1.95950398;N;;;;
