latitude;longitude;speed;date;;;;latitude;longitude;;
36.71515588;-4.431547005;1.562914968;Wed May 02 14:25:31 GMT+02:00 2018;;;;;;;
36.71544467;-4.431516286;0.965232849;Wed May 02 14:25:04 GMT+02:00 2018;;;;;;;
36.71567677;-4.431332146;1.587932229;Wed May 02 14:24:46 GMT+02:00 2018;;;;;;;
36.71595526;-4.431270848;1.231635809;Wed May 02 14:24:34 GMT+02:00 2018;;;;;;;
36.71617244;-4.431060465;0.91398865;Wed May 02 14:24:20 GMT+02:00 2018;;;;;;;
36.71618962;-4.430708461;1.059853077;Wed May 02 14:22:46 GMT+02:00 2018;;;;;;;
36.71631418;-4.430405689;0.757277608;Wed May 02 14:22:31 GMT+02:00 2018;;;;;;;
36.71660827;-4.430388527;1.170735359;Wed May 02 14:22:01 GMT+02:00 2018;;;;;;;
36.71688704;-4.430344414;1.067237496;Wed May 02 14:21:37 GMT+02:00 2018;;;;;;36.71834489;-4.43201509
36.71716282;-4.430408504;0.484835923;Wed May 02 14:21:06 GMT+02:00 2018;;;;;;;
36.71723934;-4.430732173;1.547853708;Wed May 02 14:20:42 GMT+02:00 2018;;;;;;;
36.7172156;-4.43107261;0.917165935;Wed May 02 14:20:22 GMT+02:00 2018;;;;;;;
36.71726567;-4.431405944;0.96188581;Wed May 02 14:19:56 GMT+02:00 2018;;;;;;;
36.71732071;-4.43174345;1.208028316;Wed May 02 14:19:33 GMT+02:00 2018;;;;;;;
36.71760352;-4.43171309;1.117617369;Wed May 02 14:19:09 GMT+02:00 2018;;;;;;;
36.71785911;-4.431559529;0.719341695;Wed May 02 14:18:52 GMT+02:00 2018;;;;;;;
36.7180297;-4.431284738;0;Wed May 02 14:13:55 GMT+02:00 2018;;;;salida trabajo;;;
36.71812633;-4.431705059;0.817187131;Wed May 02 14:13:52 GMT+02:00 2018;;;;;;;
36.71786773;-4.431866832;1.126798868;Wed May 02 14:13:51 GMT+02:00 2018;;;;;;;
36.71818113;-4.431682675;1.579905629;Wed May 02 14:12:38 GMT+02:00 2018;;;;;;;
36.7184347;-4.431865915;1.465634465;Wed May 02 14:12:16 GMT+02:00 2018;;;;;;;
36.71817534;-4.43210759;0.710562706;Wed May 02 13:55:27 GMT+02:00 2018;;;;;;;
36.71844961;-4.43211878;0.863501787;Wed May 02 13:35:13 GMT+02:00 2018;;;;;;;
36.71806805;-4.43214497;0.621130049;Wed May 02 13:35:12 GMT+02:00 2018;;;;;;;
36.71837784;-4.432084944;0.602882743;Wed May 02 13:16:21 GMT+02:00 2018;;;;;;;
36.71811117;-4.432204837;0.269564003;Wed May 02 13:02:45 GMT+02:00 2018;;;;;;;
36.71840752;-4.432168789;0.230384514;Wed May 02 13:02:44 GMT+02:00 2018;;;;;;;
36.71806056;-4.432066055;0.22176896;Wed May 02 13:02:42 GMT+02:00 2018;;;;;;;
36.71929429;-4.431166099;2.443228483;Wed May 02 13:02:39 GMT+02:00 2018;;;;;;;
36.71870538;-4.431380629;0.606091738;Wed May 02 13:02:39 GMT+02:00 2018;;;;;;;
36.71830577;-4.432044974;0.411967814;Wed May 02 12:18:15 GMT+02:00 2018;;;;;;;
36.71821089;-4.432442766;2.208342791;Wed May 02 12:12:53 GMT+02:00 2018;;;;;;;
36.71862863;-4.432342304;3.823578835;Wed May 02 12:12:51 GMT+02:00 2018;;;;;;;
36.71834864;-4.432424261;1.296808481;Wed May 02 12:05:06 GMT+02:00 2018;;;;;;;
36.71843549;-4.432095518;1.529463172;Wed May 02 12:05:06 GMT+02:00 2018;;;;;;;
36.71836352;-4.431780653;0.435194969;Wed May 02 11:59:41 GMT+02:00 2018;;;;;;;
36.71828075;-4.432331785;1.418844342;Wed May 02 11:59:40 GMT+02:00 2018;;;;;;;
36.71844326;-4.431975951;0.442389518;Wed May 02 11:38:39 GMT+02:00 2018;;;;;;;
36.71820619;-4.432329987;2.379371881;Wed May 02 11:32:22 GMT+02:00 2018;;;;;;;
36.71847039;-4.432132575;1.51016295;Wed May 02 11:32:19 GMT+02:00 2018;;;;;;;
36.7174901;-4.432220415;1.959156513;Wed May 02 11:32:16 GMT+02:00 2018;;;;;;;
36.71830151;-4.432102411;0.521472216;Wed May 02 11:21:32 GMT+02:00 2018;;;;;;;
36.7185063;-4.431849932;0.32179448;Wed May 02 11:20:35 GMT+02:00 2018;;;;;;;
36.71805703;-4.431830987;0.554023922;Wed May 02 10:46:45 GMT+02:00 2018;;;;;;;
36.71828385;-4.432052534;0.574309468;Wed May 02 10:46:45 GMT+02:00 2018;;;;;;;
36.71831601;-4.432050518;0.228544295;Wed May 02 10:45:59 GMT+02:00 2018;;;;;;;
36.71863027;-4.432324415;0.465930015;Wed May 02 10:45:56 GMT+02:00 2018;;;;;;;
36.71834211;-4.432074245;0.531300545;Wed May 02 10:42:57 GMT+02:00 2018;;;;;;;
36.71807364;-4.432219356;0.388207495;Wed May 02 10:42:54 GMT+02:00 2018;;;;;;;
36.71833665;-4.432096313;0.430063963;Wed May 02 10:38:41 GMT+02:00 2018;;;;;;;
36.71862018;-4.431897646;1.400378942;Wed May 02 10:38:39 GMT+02:00 2018;;;;;;;
36.71828026;-4.432030975;0.704969525;Wed May 02 10:33:20 GMT+02:00 2018;;;;;;;
36.71860578;-4.432153484;0.061785061;Wed May 02 10:28:05 GMT+02:00 2018;;;;;;;
36.71836538;-4.431975035;0.066665135;Wed May 02 10:22:16 GMT+02:00 2018;;;;;;;
36.71867235;-4.43208381;0.955229819;Wed May 02 10:22:14 GMT+02:00 2018;;;;;;;
36.71837194;-4.432038492;0.75415659;Wed May 02 10:16:59 GMT+02:00 2018;;;;;;;
36.7191858;-4.431950373;0.259588152;Wed May 02 10:16:58 GMT+02:00 2018;;;;;;;
36.7180541;-4.431978623;0.491478562;Wed May 02 10:16:56 GMT+02:00 2018;;;;;;;
36.7184799;-4.431842416;1.19048512;Wed May 02 09:52:25 GMT+02:00 2018;;;;;;;
36.71821914;-4.432143304;0.558671534;Wed May 02 09:52:22 GMT+02:00 2018;;;;ENTRADA trabajo;;;
36.7182624;-4.431347214;3.998226404;Wed May 02 09:50:36 GMT+02:00 2018;;;;;;;
36.71810734;-4.431023866;3.936973333;Wed May 02 09:50:29 GMT+02:00 2018;;;;;;;
36.71789465;-4.430805296;2.816420078;Wed May 02 09:50:18 GMT+02:00 2018;;;;;;;
36.71762512;-4.430634241;3.29385519;Wed May 02 09:50:08 GMT+02:00 2018;;;;;;;
36.71730665;-4.430588517;2.081016064;Wed May 02 09:50:00 GMT+02:00 2018;;;;;;;
36.71704281;-4.430474608;2.762812614;Wed May 02 09:49:49 GMT+02:00 2018;;;;;;;
36.71674198;-4.430417485;1.362420917;Wed May 02 09:49:40 GMT+02:00 2018;;;;;;;
36.71647289;-4.430451837;0.648830533;Wed May 02 09:49:29 GMT+02:00 2018;;;;;;;
36.71618518;-4.430433357;2.555003881;Wed May 02 09:48:43 GMT+02:00 2018;;;;;;;
36.71594472;-4.430636731;3.04263711;Wed May 02 09:48:21 GMT+02:00 2018;;;;;;;
